block,sid,trial,rule_type,A_stim,B_stim,rule_sequence,test_type,X_stim,Y_stim,test_sequence,match,mismatch_type,response_key,correct,rt,isi1,isi2,isi3,isi4,isi5,iti,t_fixation,t_rule1,t_rule2,t_rule3,t_test1,t_test2,t_test3,t_response
run2,001,37,ABA,rectangle,star,"rectangle,star,rectangle",ABB,circle,triangle,"circle,triangle,triangle",0,rule_order,2,1,0.07030921499972465,1.129619480987368,1.1149392835658856,1.5,0.84573166956099,1.0198491260946885,2.0,599.1104554003105,599.6138341999613,601.2542544002645,602.8849116000347,604.8971077003516,606.2513795001432,607.7807265999727,608.2848040000536
run2,001,38,ABB,circle,triangle,"circle,triangle,triangle",ABA,rectangle,triangle,"rectangle,triangle,rectangle",0,rule_order,2,1,0.5741566449996753,1.1072088700173608,1.1198265783164938,1.5,0.9703680865449223,1.1606866996403746,2.0,613.3848081002943,613.8933582003228,615.5123294000514,617.1457981001586,619.1603912999853,620.6517742001452,622.325674300082,622.834182200022
run2,001,39,ABA,star,rectangle,"star,rectangle,star",ABB,circle,star,"circle,star,star",0,rule_order,2,1,0.3963230150002346,0.9628231233225323,1.0027965768749203,1.5,1.1762323509677826,0.9168324775354103,2.0,628.4317219001241,628.9367582001723,630.4096951000392,631.9211244001053,633.9328853003681,635.6177018000744,637.0430605001748,637.5523403999396
run2,001,40,ABB,circle,triangle,"circle,triangle,triangle",ABB,rectangle,star,"rectangle,star,star",1,,2,0,0.12669456499952503,0.9560254501981822,1.156984290451755,1.5,1.0018769855886958,1.0996360384353694,2.0,642.9672988001257,643.4715118003078,644.9381524999626,646.6065925001167,648.6152415000834,650.1268168999813,651.7374297003262,652.2424036003649
run2,001,41,ABA,rectangle,circle,"rectangle,circle,rectangle",ABA,triangle,circle,"triangle,circle,triangle",1,,1,1,0.05922424999971554,0.7716012920964116,0.8968070323928933,1.5,0.8973998527128774,0.6359800783796504,2.0,657.3887936002575,657.8927102000453,659.175432600081,660.5825848001987,662.5895066000521,663.9982032999396,665.1563019002788,665.661068700254
run2,001,42,ABA,triangle,circle,"triangle,circle,triangle",ABA,rectangle,circle,"rectangle,circle,rectangle",1,,1,1,0.24242647000028228,0.8559937295649396,1.366611059241635,1.5,0.7892326946755951,0.9253195463375601,2.0,670.7460702001117,671.2547524999827,672.6257660002448,674.499553500209,676.5103354002349,677.8126663002186,679.250187900383,679.7547392002307
run2,001,43,ABB,rectangle,star,"rectangle,star,star",ABB,rectangle,circle,"rectangle,circle,circle",1,,1,1,0.3483510300002308,0.8440271109127746,0.7931361231591152,1.5,0.9167917012551331,1.4245797043367312,2.0,685.0181094999425,685.5261812000535,686.8854240002111,688.1858092001639,690.20193690015,691.6264488003217,693.5607297001407,694.0648900000378
run2,001,44,ABB,star,rectangle,"star,rectangle,rectangle",ABB,triangle,star,"triangle,star,star",1,,1,1,0.1292136849997405,1.0071066809552427,0.8388804206824604,1.5,0.9739434243023436,0.9552605858622712,2.0,699.4395976001397,699.9477463001385,701.4712864002213,702.8216809001751,704.8365877000615,706.3288127002306,707.7928339000791,708.297498700209
run2,001,45,ABB,triangle,circle,"triangle,circle,circle",ABB,triangle,circle,"triangle,circle,circle",1,,1,1,0.5244136599994818,0.7853385056416028,0.7382971259442992,1.5,0.969228079940552,0.8115434489448823,2.0,713.4520483002998,713.955907900352,715.2510486003011,716.5003510001116,718.5087008001283,719.98818450002,721.3111259001307,721.8155597001314
run2,001,46,ABB,circle,star,"circle,star,star",other,triangle,rectangle,"triangle,rectangle,star",0,random,2,1,0.1890598999989379,1.1821713522160273,0.7794818576816221,1.5,0.6683287057147034,0.909635172927868,2.0,727.3620309000835,727.8656824999489,729.5607148003764,730.8520154003054,732.8610668000765,734.0391342001967,735.4581523002125,735.9622985003516
run2,001,47,ABB,triangle,star,"triangle,star,star",ABB,triangle,star,"triangle,star,star",1,,1,1,0.3701824299996588,1.0176423362263716,1.1038214400858952,1.5,1.1784565728723289,0.7311263858191867,2.0,741.177431799937,741.681731000077,743.210742500145,744.8279218999669,746.8424651999958,748.5276019000448,749.774652400054,750.2794074001722
run2,001,48,ABA,triangle,star,"triangle,star,triangle",ABB,triangle,rectangle,"triangle,rectangle,rectangle",0,rule_order,2,1,0.6339152849996026,1.0443843073757089,0.7426191078277107,1.5,0.8076159634309735,1.0136124942162141,2.0,755.6741061001085,756.1777326003648,757.7368167000823,758.9860793999396,760.9977426002733,762.3194000003859,763.8497170000337,764.3536463002674
