sid,main_trial_idx,rule_type,acc_roll,rt_roll
cc2bdacf-6fe4-4e56-9630-a6ab21438244,69,ABA,0.9,0.6027910499997233
cc2bdacf-6fe4-4e56-9630-a6ab21438244,70,ABB,1.0,0.5887716500001261
cc2bdacf-6fe4-4e56-9630-a6ab21438244,71,ABB,1.0,0.5887716500001261
cc2bdacf-6fe4-4e56-9630-a6ab21438244,72,ABB,1.0,0.5947778499999004
cc2bdacf-6fe4-4e56-9630-a6ab21438244,73,ABA,1.0,0.6030337999995936
cc2bdacf-6fe4-4e56-9630-a6ab21438244,74,ABB,1.0,0.6030337999995936
cc2bdacf-6fe4-4e56-9630-a6ab21438244,75,ABA,1.0,0.5890143999999964
cc2bdacf-6fe4-4e56-9630-a6ab21438244,76,ABA,1.0,0.5853669999996782
cc2bdacf-6fe4-4e56-9630-a6ab21438244,77,ABB,1.0,0.573874749999959
cc2bdacf-6fe4-4e56-9630-a6ab21438244,78,ABB,1.0,0.573874749999959
cc2bdacf-6fe4-4e56-9630-a6ab21438244,79,ABA,1.0,0.573874749999959
cc2bdacf-6fe4-4e56-9630-a6ab21438244,80,ABB,1.0,0.5848962499999288
cc2bdacf-6fe4-4e56-9630-a6ab21438244,81,ABA,1.0,0.5719271500001923
cc2bdacf-6fe4-4e56-9630-a6ab21438244,82,ABB,1.0,0.5449380499999279
cc2bdacf-6fe4-4e56-9630-a6ab21438244,83,ABA,1.0,0.5395423499999197
cc2bdacf-6fe4-4e56-9630-a6ab21438244,84,ABA,1.0,0.5346361000001707
cc2bdacf-6fe4-4e56-9630-a6ab21438244,85,ABA,1.0,0.5374628000004122
cc2bdacf-6fe4-4e56-9630-a6ab21438244,86,ABB,1.0,0.5331151000004866
cc2bdacf-6fe4-4e56-9630-a6ab21438244,87,ABB,1.0,0.5380213500002355
cc2bdacf-6fe4-4e56-9630-a6ab21438244,88,ABA,1.0,0.5380213500002355
cc2bdacf-6fe4-4e56-9630-a6ab21438244,89,ABA,1.0,0.5331151000004866
cc2bdacf-6fe4-4e56-9630-a6ab21438244,90,ABB,1.0,0.5237559000001966
cc2bdacf-6fe4-4e56-9630-a6ab21438244,91,ABA,1.0,0.5094340999999076
cc2bdacf-6fe4-4e56-9630-a6ab21438244,92,ABB,1.0,0.5094340999999076
cc2bdacf-6fe4-4e56-9630-a6ab21438244,93,ABA,1.0,0.5265826000004381
cc2bdacf-6fe4-4e56-9630-a6ab21438244,94,ABA,1.0,0.5547567000003255
cc2bdacf-6fe4-4e56-9630-a6ab21438244,95,ABB,1.0,0.5770364999998492
cc2bdacf-6fe4-4e56-9630-a6ab21438244,96,ABA,1.0,0.5925956999994924
cc2bdacf-6fe4-4e56-9630-a6ab21438244,97,ABB,1.0,0.612568399999418
cc2bdacf-6fe4-4e56-9630-a6ab21438244,98,ABA,1.0,0.5925956999994924
cc2bdacf-6fe4-4e56-9630-a6ab21438244,99,ABA,1.0,0.5925956999994924
cc2bdacf-6fe4-4e56-9630-a6ab21438244,100,ABA,1.0,0.5925956999994924
cc2bdacf-6fe4-4e56-9630-a6ab21438244,101,ABB,1.0,0.612568399999418
